INSERT INTO bike_order (bike_id, order_price) VALUES
("1","4000"),
("2","2400"),
("3","8900"),
("4","2200"),
("5","1000"),
("6","14000"),
("7","14000"),
("8","7500"),
("9","6800"),
("10","3800"),
("11","6800"),
("12","1400"),
("13","2700"),
("14","1100"),
("15","2200"),
("16","4000"),
("17","5000"),
("18","1100"),
("19","1000"),
("20","2400"),
("21","14000"),
("22","6800"),
("23","2000"),
("24","3500"),
("25","3000"),
("26","2400"),
("27","500"),
("28","2000"),
("29","400"),
("30","1300"),
("31","2700"),
("32","2700"),
("33","2900"),
("34","2400"),
("35","14000"),
("36","7500"),
("37","400"),
("38","2000"),
("39","6800"),
("40","8900"),
("41","1000"),
("42","14000"),
("43","6800"),
("44","400"),
("45","14000"),
("46","6800"),
("47","10000"),
("48","2200"),
("49","3000"),
("50","2000"),
("51","500"),
("52","2900"),
("53","2200"),
("54","3000"),
("55","2700"),
("56","2700"),
("57","2400"),
("58","13000"),
("59","1300"),
("60","2900"),
("61","1300"),
("62","2700"),
("63","4000"),
("64","6800"),
("65","400"),
("66","1400"),
("67","13000"),
("68","5000"),
("69","4000"),
("70","7500"),
("71","2900"),
("72","2200"),
("73","3800"),
("74","3500"),
("75","2400"),
("76","5000"),
("77","1300"),
("78","2000"),
("79","13000"),
("80","2400"),
("81","1000"),
("82","6800"),
("83","1100"),
("84","6800"),
("85","3500"),
("86","8900"),
("87","2700"),
("88","13000"),
("89","6800"),
("90","3000"),
("91","10000"),
("92","8900"),
("93","2000"),
("94","2700"),
("95","14000"),
("96","1400"),
("97","2600"),
("98","2400"),
("99","5000"),
("100","3800"),
("101","13000"),
("102","3000"),
("103","1000"),
("104","1100"),
("105","2400"),
("106","1300"),
("107","3800"),
("108","10000"),
("109","1300"),
("110","3800"),
("111","6800"),
("112","2400"),
("113","8900"),
("114","4000"),
("115","2400"),
("116","3000"),
("117","14000"),
("118","400"),
("119","1100"),
("120","3500"),
("121","2900"),
("122","2000"),
("123","1200"),
("124","1000"),
("125","5000"),
("126","2900"),
("127","5000"),
("128","2700"),
("129","2000"),
("130","5000"),
("131","1100"),
("132","5000"),
("133","10000"),
("134","1000"),
("135","500"),
("136","3800"),
("137","2700"),
("138","2700"),
("139","3150"),
("140","2200"),
("141","1200"),
("142","2000"),
("143","10000"),
("144","3150"),
("145","8900"),
("146","2700"),
("147","7500"),
("148","3800"),
("149","10000"),
("150","3150"),
("151","2900"),
("152","1000"),
("153","1000"),
("154","1400"),
("155","3800"),
("156","1000"),
("157","1400"),
("158","5000"),
("159","3000"),
("160","7500"),
("161","1000"),
("162","3000"),
("163","1100"),
("164","7500"),
("165","3150"),
("166","8900"),
("167","2700"),
("168","2600"),
("169","10000"),
("170","3150"),
("171","4000"),
("172","3500"),
("173","2400"),
("174","1100"),
("175","1300"),
("176","1400"),
("177","8900"),
("178","2000"),
("179","8900"),
("180","2700"),
("181","1000"),
("182","14000"),
("183","1000"),
("184","1200"),
("185","1100"),
("186","3150"),
("187","2000"),
("188","2000"),
("189","2400"),
("190","6800"),
("191","1000"),
("192","10000"),
("193","2200"),
("194","3150"),
("195","5000"),
("196","1000"),
("197","8900"),
("198","2600"),
("199","7500"),
("200","5000"),
("201","2600"),
("202","10000"),
("203","3800"),
("204","1000"),
("205","5000"),
("206","5000"),
("207","10000"),
("208","1000"),
("209","2700"),
("210","10000"),
("211","3800"),
("212","1100"),
("213","1200"),
("214","2400"),
("215","1300"),
("216","1200"),
("217","13000"),
("218","6800"),
("219","3150"),
("220","3800"),
("221","500"),
("222","500"),
("223","2900"),
("224","6800"),
("225","1300"),
("226","2200"),
("227","2400"),
("228","1100"),
("229","3800"),
("230","8900"),
("231","2900"),
("232","2900"),
("233","3500"),
("234","6800"),
("235","6800"),
("236","7500"),
("237","1100"),
("238","2000"),
("239","4000"),
("240","2400"),
("241","3500"),
("242","1400"),
("243","8900"),
("244","1100"),
("245","7500"),
("246","10000"),
("247","1000"),
("248","2200"),
("249","3000"),
("250","500"),
("251","10000"),
("252","2700"),
("253","10000"),
("254","2200"),
("255","2400"),
("256","2900"),
("257","2600"),
("258","7500"),
("259","5000"),
("260","3150"),
("261","2400"),
("262","3800"),
("263","3000"),
("264","14000"),
("265","7500"),
("266","14000"),
("267","5000"),
("268","5000"),
("269","2900"),
("270","1000"),
("271","2200"),
("272","8900"),
("273","500"),
("274","2000"),
("275","3800"),
("276","1000"),
("277","4000"),
("278","1200"),
("279","400"),
("280","4000"),
("281","3800"),
("282","2700"),
("283","6800"),
("284","14000"),
("285","2700"),
("286","3500"),
("287","1100"),
("288","7500"),
("289","8900"),
("290","3800"),
("291","8900"),
("292","1100"),
("293","3150"),
("294","500"),
("295","10000"),
("296","10000"),
("297","1100"),
("298","1300"),
("299","1100"),
("300","2000"),
("301","1000"),
("302","10000"),
("303","3150"),
("304","4000"),
("305","1300"),
("306","3500"),
("307","400"),
("308","500"),
("309","2000"),
("310","6800"),
("311","5000"),
("312","400"),
("313","6800"),
("314","1200"),
("315","5000"),
("316","2900"),
("317","8900"),
("318","2200"),
("319","1200"),
("320","13000"),
("321","8900"),
("322","2000"),
("323","1200"),
("324","2600"),
("325","5000"),
("326","3500"),
("327","3500"),
("328","6800"),
("329","7500"),
("330","1000"),
("331","2700"),
("332","2000"),
("333","4000"),
("334","2900"),
("335","3150"),
("336","13000"),
("337","6800"),
("338","4000"),
("339","10000"),
("340","4000"),
("341","500"),
("342","1000"),
("343","2200"),
("344","2400"),
("345","10000"),
("346","6800"),
("347","1400"),
("348","3800"),
("349","3800"),
("350","6800"),
("351","2400"),
("352","2000"),
("353","1300"),
("354","1400"),
("355","13000"),
("356","400"),
("357","3000"),
("358","3800"),
("359","7500"),
("360","3000"),
("361","3150"),
("362","2700"),
("363","1200"),
("364","2900"),
